,lineage,collection_date,subm_date,region,country,province,variant,date_2weeks
94,Dengue virus 1,2020-10-06,2021-06-07,Africa ,Cote dIvoire,,DENV 1,2021-06-07
95,Dengue virus 1,2020-06-11,2021-06-07,Africa ,Cote dIvoire,,DENV 1,2021-06-07
96,Dengue virus 3,2020-05-28,2021-06-07,Africa ,Angola,,DENV 3,2021-06-07
97,Dengue virus 3,2020-09-10,2021-06-07,Africa ,Comoros,,DENV 3,2021-06-07
98,Dengue virus 3,2020-08-12,2021-06-07,Africa ,Cote dIvoire,,DENV 3,2021-06-07
99,Dengue virus 3,2020-09-14,2021-06-07,Africa ,Cameroon,,DENV 3,2021-06-07
100,Dengue virus 3,2020-04-21,2021-06-07,Africa ,Cameroon,,DENV 3,2021-06-07
101,Dengue virus 1,2020-08-18,2021-12-30,Africa ,Cameroon,,DENV 1,2021-12-30
102,Dengue virus 1,2020-12-07,2021-07-03,Africa ,Nigeria,,DENV 1,2021-07-03
103,Dengue virus 1,2020-08-21,2021-07-04,Africa ,Cape Verde,,DENV 1,2021-07-04
104,Dengue virus 1,2020-10-06,2021-06-07,Africa ,Cote dIvoire,,DENV 1,2021-06-07
105,Dengue virus 1,2020-10-05,2021-06-07,Africa ,Cote dIvoire,,DENV 1,2021-06-07
106,Dengue virus 1,2020-01-01,2021-06-07,Africa ,Cape Verde,,DENV 1,2021-06-07
107,Dengue virus 4,2020-10-06,2021-06-07,Africa ,Comoros,,DENV 4,2021-06-07
108,Dengue virus 4,2020-09-10,2021-06-07,Africa ,Angola,,DENV 4,2021-06-07
109,Dengue virus 2,2020-09-10,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
110,Dengue virus 2,2020-09-11,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
111,Dengue virus 2,2020-09-10,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
112,Dengue virus 2,2020-09-07,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
113,Dengue virus 1,2020-09-08,2021-06-07,Africa ,Angola,,DENV 1,2021-06-07
